epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17197,1.48644,1.27041,1.25674,0.6818,0.53819,0.59703,0.32639,1.29634,4.21519,0.98404,0.0011882,0.0011882,0.0011882
43,17597.1,1.48512,1.26968,1.26581,0.69446,0.5312,0.59828,0.32923,1.28569,3.79084,0.97604,0.0011684,0.0011684,0.0011684
44,17999,1.48929,1.26186,1.26065,0.68059,0.5432,0.60113,0.33162,1.29201,3.71553,0.97739,0.0011486,0.0011486,0.0011486
45,18400.6,1.46206,1.24225,1.2486,0.69383,0.53785,0.59829,0.33096,1.28689,3.58188,0.97183,0.0011288,0.0011288,0.0011288
46,18801.8,1.4615,1.23746,1.24875,0.67931,0.55305,0.60227,0.33312,1.29214,3.43614,0.97774,0.001109,0.001109,0.001109
47,19203.8,1.45968,1.23206,1.24662,0.68863,0.55231,0.60274,0.33406,1.28207,3.23502,0.97494,0.0010892,0.0010892,0.0010892
48,19606.1,1.46077,1.2341,1.25024,0.69026,0.54857,0.60444,0.33434,1.27978,3.22023,0.97606,0.0010694,0.0010694,0.0010694
49,20009.2,1.46402,1.22769,1.24262,0.68759,0.55238,0.60867,0.33648,1.27852,3.28467,0.97461,0.0010496,0.0010496,0.0010496
50,20410.4,1.45969,1.20435,1.24203,0.69061,0.55427,0.60969,0.33797,1.27859,3.3768,0.97263,0.0010298,0.0010298,0.0010298
51,20812.2,1.43883,1.20368,1.23353,0.6999,0.54608,0.61225,0.33867,1.28345,3.34402,0.97368,0.00101,0.00101,0.00101
52,21214.4,1.44664,1.20832,1.23317,0.68999,0.55531,0.61184,0.33949,1.27535,3.25133,0.96766,0.0009902,0.0009902,0.0009902
53,21616.2,1.44639,1.2047,1.23089,0.68309,0.55385,0.61094,0.34089,1.27117,3.38809,0.96648,0.0009704,0.0009704,0.0009704
54,22565.2,1.4473,1.20124,1.22999,0.68446,0.55621,0.61183,0.34178,1.27131,3.17042,0.96573,0.0009506,0.0009506,0.0009506
55,23536.4,1.43911,1.19204,1.23018,0.69545,0.56166,0.61639,0.34417,1.26891,3.13682,0.96473,0.0009308,0.0009308,0.0009308
56,24502,1.44043,1.18756,1.23066,0.69428,0.56395,0.61542,0.34548,1.26498,3.17628,0.96303,0.000911,0.000911,0.000911
57,25474.2,1.43407,1.18552,1.23069,0.70052,0.5628,0.61717,0.34529,1.26332,3.10016,0.96247,0.0008912,0.0008912,0.0008912
58,26438.3,1.42429,1.17344,1.22184,0.70399,0.56331,0.61859,0.346,1.26145,3.00009,0.96151,0.0008714,0.0008714,0.0008714
59,27404.1,1.42111,1.16036,1.22556,0.69871,0.56673,0.61815,0.34621,1.26096,3.01981,0.96075,0.0008516,0.0008516,0.0008516
60,28374.8,1.43422,1.16906,1.22103,0.70106,0.56951,0.61934,0.34617,1.26318,2.9773,0.96001,0.0008318,0.0008318,0.0008318
61,29344.3,1.41841,1.15247,1.21822,0.70297,0.57092,0.62139,0.34714,1.26245,2.98938,0.95885,0.000812,0.000812,0.000812
62,30306.7,1.40692,1.14774,1.20952,0.70692,0.56975,0.62139,0.34699,1.25957,2.94079,0.95734,0.0007922,0.0007922,0.0007922
63,31278.8,1.41772,1.14712,1.2157,0.71175,0.56902,0.62362,0.34719,1.25812,2.90964,0.95626,0.0007724,0.0007724,0.0007724
64,32245.3,1.41305,1.14786,1.21164,0.70747,0.56844,0.62456,0.34735,1.25608,2.90867,0.95485,0.0007526,0.0007526,0.0007526
65,33210.4,1.40819,1.14289,1.21481,0.70737,0.56813,0.62633,0.34829,1.25525,2.87053,0.95485,0.0007328,0.0007328,0.0007328
66,34181.8,1.39596,1.12771,1.20643,0.70376,0.56892,0.62778,0.34937,1.25401,2.82769,0.95366,0.000713,0.000713,0.000713
67,35151.2,1.39156,1.12677,1.20208,0.70939,0.56608,0.62784,0.35008,1.253,2.83587,0.95331,0.0006932,0.0006932,0.0006932
68,36115.9,1.38967,1.11405,1.20101,0.71097,0.56946,0.6293,0.35065,1.25278,2.83894,0.95315,0.0006734,0.0006734,0.0006734
69,37080,1.39853,1.12937,1.20623,0.70963,0.56967,0.62929,0.35127,1.25289,2.82464,0.95319,0.0006536,0.0006536,0.0006536
70,38045.7,1.39295,1.12488,1.20268,0.70405,0.57358,0.63043,0.35221,1.25193,2.79879,0.95285,0.0006338,0.0006338,0.0006338
71,39008.8,1.38372,1.10275,1.20099,0.70475,0.57312,0.63096,0.35227,1.25162,2.78922,0.95281,0.000614,0.000614,0.000614
72,39965.3,1.37748,1.10692,1.19519,0.70177,0.57507,0.63169,0.35294,1.2514,2.78007,0.95258,0.0005942,0.0005942,0.0005942
73,40931.9,1.39014,1.101,1.20546,0.70641,0.57415,0.63326,0.35305,1.25154,2.75711,0.95254,0.0005744,0.0005744,0.0005744
74,41901.2,1.38156,1.09946,1.19569,0.70939,0.57117,0.63306,0.35389,1.25065,2.74179,0.95207,0.0005546,0.0005546,0.0005546
75,42845.2,1.37004,1.08829,1.19324,0.71144,0.57299,0.63333,0.35418,1.25073,2.72479,0.95228,0.0005348,0.0005348,0.0005348
76,43808.3,1.37468,1.09793,1.19553,0.72017,0.57078,0.63346,0.35474,1.25039,2.70692,0.95189,0.000515,0.000515,0.000515
77,44775.8,1.35839,1.08271,1.18623,0.71929,0.57167,0.63364,0.35567,1.25018,2.69493,0.95167,0.0004952,0.0004952,0.0004952
78,45733.1,1.36029,1.07907,1.18922,0.71642,0.5714,0.63418,0.35571,1.25004,2.69349,0.95161,0.0004754,0.0004754,0.0004754
79,46692.6,1.37412,1.07685,1.1913,0.714,0.57321,0.63433,0.35581,1.25012,2.69198,0.95157,0.0004556,0.0004556,0.0004556
80,47656.6,1.36595,1.07416,1.19019,0.70913,0.57723,0.63494,0.35589,1.24999,2.68417,0.95148,0.0004358,0.0004358,0.0004358
81,48300.3,1.3599,1.06999,1.18933,0.70857,0.57923,0.63475,0.35616,1.24994,2.67437,0.95136,0.000416,0.000416,0.000416
82,48718.6,1.36043,1.06061,1.1859,0.71026,0.57923,0.63518,0.35663,1.24972,2.65763,0.95132,0.0003962,0.0003962,0.0003962
83,49117.8,1.35392,1.06378,1.18406,0.71095,0.58122,0.63551,0.35664,1.24948,2.6418,0.951,0.0003764,0.0003764,0.0003764
84,49527.8,1.34611,1.05894,1.18433,0.71155,0.58207,0.6356,0.35683,1.24945,2.63068,0.95105,0.0003566,0.0003566,0.0003566
85,49936,1.34592,1.05231,1.18223,0.70949,0.58402,0.63574,0.3571,1.24938,2.61543,0.9509,0.0003368,0.0003368,0.0003368
86,50336.4,1.34215,1.05238,1.17831,0.71147,0.5845,0.6363,0.35732,1.24928,2.60191,0.95071,0.000317,0.000317,0.000317
87,50737.5,1.35298,1.05556,1.18305,0.71236,0.58449,0.63647,0.35772,1.2494,2.59409,0.9508,0.0002972,0.0002972,0.0002972
88,51137.8,1.34738,1.05427,1.18255,0.71244,0.58382,0.63647,0.35798,1.24942,2.59039,0.95073,0.0002774,0.0002774,0.0002774
89,51538.1,1.34743,1.04746,1.17886,0.71398,0.58323,0.63665,0.35813,1.24974,2.58497,0.95083,0.0002576,0.0002576,0.0002576
90,51939.5,1.33689,1.03792,1.16922,0.71466,0.58264,0.63672,0.35833,1.2498,2.57909,0.95076,0.0002378,0.0002378,0.0002378
