epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,35699.4,1.57523,1.43409,1.31659,0.63877,0.51272,0.55032,0.29115,1.32112,4.7074,1.0232,0.0011882,0.0011882,0.0011882
43,36655.9,1.57158,1.41841,1.3213,0.65423,0.51233,0.55618,0.2948,1.31759,4.09957,1.01566,0.0011684,0.0011684,0.0011684
44,37608.1,1.56585,1.42434,1.31863,0.65167,0.51166,0.55894,0.29612,1.31993,4.30906,1.01339,0.0011486,0.0011486,0.0011486
45,38560.2,1.55434,1.39229,1.31406,0.65253,0.51324,0.55798,0.29628,1.31356,3.97965,1.013,0.0011288,0.0011288,0.0011288
46,39511.7,1.54758,1.40042,1.30264,0.64973,0.50843,0.55816,0.29977,1.30557,4.61219,1.00511,0.001109,0.001109,0.001109
47,40469.1,1.55246,1.37608,1.30516,0.65958,0.50821,0.56197,0.30236,1.30524,4.13273,1.00336,0.0010892,0.0010892,0.0010892
48,41429.1,1.54863,1.37474,1.31346,0.67732,0.50797,0.56424,0.30408,1.30999,3.91012,1.00835,0.0010694,0.0010694,0.0010694
49,42388.4,1.55391,1.37472,1.30628,0.67146,0.50544,0.5622,0.30463,1.31109,3.8109,1.00867,0.0010496,0.0010496,0.0010496
50,43341.6,1.53868,1.34916,1.30079,0.66735,0.51176,0.56441,0.30697,1.30312,3.9496,1.00715,0.0010298,0.0010298,0.0010298
51,44295.5,1.5318,1.3596,1.30115,0.65876,0.51257,0.56561,0.30698,1.29715,3.89182,1.00442,0.00101,0.00101,0.00101
52,44902.5,1.53537,1.34434,1.29494,0.67865,0.50753,0.5664,0.30808,1.29911,3.74957,1.00573,0.0009902,0.0009902,0.0009902
53,45309.7,1.53093,1.35191,1.29257,0.67761,0.50807,0.56893,0.31108,1.29518,3.82466,1.00278,0.0009704,0.0009704,0.0009704
