epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21565.3,1.43631,1.19805,1.21397,0.69071,0.5652,0.61683,0.34633,1.25712,3.24026,0.94592,0.0011882,0.0011882,0.0011882
43,22004.5,1.44066,1.19293,1.22538,0.71225,0.5444,0.61385,0.34452,1.25719,3.0823,0.95191,0.0011684,0.0011684,0.0011684
44,22442.6,1.43862,1.18292,1.22477,0.6923,0.56213,0.61697,0.34606,1.26258,3.24342,0.95274,0.0011486,0.0011486,0.0011486
45,22880.2,1.41834,1.16401,1.21222,0.70423,0.55743,0.61849,0.34806,1.25532,3.14241,0.94593,0.0011288,0.0011288,0.0011288
46,23319.1,1.41914,1.1633,1.21498,0.72184,0.5516,0.62021,0.34729,1.24978,2.97589,0.94959,0.001109,0.001109,0.001109
47,23890.8,1.42323,1.15467,1.21718,0.71029,0.55456,0.62137,0.3501,1.25153,3.0917,0.94979,0.0010892,0.0010892,0.0010892
48,24385.5,1.42006,1.1564,1.21483,0.71705,0.55465,0.6227,0.35156,1.24582,3.20855,0.94494,0.0010694,0.0010694,0.0010694
49,24821,1.42786,1.15095,1.21011,0.71263,0.55533,0.62082,0.3508,1.24246,3.13398,0.94651,0.0010496,0.0010496,0.0010496
50,25261.2,1.41378,1.13006,1.20849,0.70697,0.56045,0.62117,0.35162,1.24566,3.01024,0.94644,0.0010298,0.0010298,0.0010298
51,25699.9,1.40344,1.13476,1.20594,0.69811,0.56818,0.62485,0.35385,1.24242,2.91868,0.9446,0.00101,0.00101,0.00101
52,26138.4,1.40409,1.13404,1.20036,0.69547,0.56821,0.62661,0.35507,1.24289,2.88514,0.94293,0.0009902,0.0009902,0.0009902
53,26578.6,1.40325,1.12706,1.19952,0.70525,0.56501,0.6272,0.35457,1.24403,2.90663,0.94346,0.0009704,0.0009704,0.0009704
54,27086.8,1.40485,1.12452,1.20175,0.68509,0.57256,0.62563,0.35557,1.24089,2.90664,0.94235,0.0009506,0.0009506,0.0009506
55,27911.2,1.39736,1.11927,1.20252,0.70504,0.56472,0.62843,0.35725,1.23182,2.90299,0.93844,0.0009308,0.0009308,0.0009308
56,28736.8,1.39783,1.11487,1.20042,0.70561,0.56941,0.62903,0.3573,1.23151,2.91919,0.93695,0.000911,0.000911,0.000911
57,29565.1,1.39847,1.1176,1.20203,0.70737,0.56968,0.63056,0.35789,1.23386,2.8603,0.93718,0.0008912,0.0008912,0.0008912
58,30387.3,1.38635,1.10644,1.19528,0.7005,0.57693,0.63205,0.35853,1.22975,2.82131,0.93538,0.0008714,0.0008714,0.0008714
59,31209.1,1.37979,1.0982,1.19315,0.71327,0.5665,0.63318,0.35907,1.22721,2.77908,0.93374,0.0008516,0.0008516,0.0008516
60,32035.5,1.39522,1.10166,1.19363,0.71453,0.56609,0.63301,0.36015,1.22717,2.69501,0.93254,0.0008318,0.0008318,0.0008318
61,32866.1,1.37207,1.08443,1.18509,0.71242,0.56667,0.63412,0.36047,1.22779,2.66324,0.93218,0.000812,0.000812,0.000812
62,33691.8,1.36841,1.08064,1.18251,0.71351,0.5697,0.63511,0.36089,1.22414,2.62606,0.93026,0.0007922,0.0007922,0.0007922
63,34522.2,1.37408,1.0806,1.18597,0.7002,0.57336,0.63449,0.36119,1.22166,2.62891,0.92867,0.0007724,0.0007724,0.0007724
64,35344.8,1.37481,1.08194,1.18581,0.70894,0.57172,0.63486,0.3619,1.21898,2.61175,0.92709,0.0007526,0.0007526,0.0007526
65,36163.5,1.37235,1.08011,1.18277,0.7058,0.57243,0.63475,0.36218,1.21749,2.58691,0.92721,0.0007328,0.0007328,0.0007328
66,36992,1.36043,1.06939,1.17747,0.70297,0.57424,0.63607,0.36275,1.21813,2.58661,0.92795,0.000713,0.000713,0.000713
67,37822.6,1.36213,1.06013,1.177,0.70403,0.5708,0.63743,0.36288,1.21689,2.59543,0.92777,0.0006932,0.0006932,0.0006932
68,38649.6,1.35761,1.06413,1.17392,0.70548,0.57105,0.63787,0.36337,1.216,2.59727,0.92732,0.0006734,0.0006734,0.0006734
69,39474.8,1.35729,1.06568,1.17397,0.70782,0.57132,0.63846,0.36354,1.21584,2.58882,0.9273,0.0006536,0.0006536,0.0006536
70,40298.1,1.35534,1.06301,1.17508,0.70994,0.57073,0.63758,0.36438,1.21546,2.58681,0.92736,0.0006338,0.0006338,0.0006338
